county,year,month,wildfire_acres
Alameda,2000.0,,75.46236
Alameda,2001.0,8.0,117.64470000000006
Alameda,2002.0,6.0,304.2632676617082
Alameda,2003.0,7.0,3.6830391157183566
Alameda,2003.0,8.0,4056.569845944332
Alameda,2005.0,6.0,197.19934265803732
Alameda,2005.0,7.0,4847.043752065766
Alameda,2006.0,7.0,2395.0806059458987
Alameda,2010.0,6.0,458.7751000000001
Alameda,2011.0,6.0,144.96710000000002
Alameda,2011.0,7.0,1034.3394999999994
Alameda,2015.0,8.0,2807.622238421854
Alameda,2018.0,6.0,70.02040000000002
Alameda,2018.0,7.0,632.3280999999995
Alameda,2019.0,6.0,0.5483319999999999
Alpine,2000.0,6.0,222.27740000000006
Alpine,2000.0,8.0,18.75641
Alpine,2002.0,6.0,37.12899881641619
Alpine,2003.0,8.0,4336.844
Alpine,2004.0,,4.919193365987047
Alpine,2007.0,8.0,20.161190000000005
Alpine,2008.0,7.0,28.504209999999986
Alpine,2012.0,8.0,145.16641859861596
Alpine,2014.0,9.0,94.21657999999992
Alpine,2015.0,6.0,17779.539999999946
Alpine,2016.0,8.0,649.8755999999997
Alpine,2017.0,6.0,66.61311999999988
Alpine,2017.0,8.0,3711.3291017502597
Alpine,2018.0,6.0,0.42570050000000015
Alpine,2018.0,8.0,13230.150827068732
Alpine,2019.0,7.0,30.43533600000002
Alpine,2019.0,,67.21748000000001
Amador,2001.0,6.0,1670.7819999999995
Amador,2001.0,7.0,546.5454999999992
Amador,2001.0,8.0,15.098209999999996
Amador,2002.0,6.0,641.3577183348433
Amador,2002.0,7.0,67.55446999999997
Amador,2002.0,8.0,20.766470000000012
Amador,2002.0,11.0,161.35579000000007
Amador,2003.0,7.0,216.42384758330266
Amador,2003.0,8.0,99.11133999999997
Amador,2004.0,6.0,353.35379419016584
Amador,2004.0,9.0,113.42580000000002
Amador,2004.0,10.0,16982.41142533892
Amador,2005.0,7.0,21.23567
Amador,2006.0,7.0,183.72781999999995
Amador,2008.0,6.0,250.52600000000018
Amador,2011.0,12.0,342.90430000000003
Amador,2013.0,8.0,16.324009999999987
Amador,2014.0,7.0,386.38704414194126
Amador,2015.0,9.0,3572.1596328316673
Amador,2016.0,6.0,561.2151379514348
Amador,2016.0,7.0,27.765000000000004
Amador,2016.0,8.0,40.58157999999999
Amador,2016.0,10.0,77.80781999999998
Amador,2016.0,,45.81971000000001
