State,County,County Code,Year,Month,Deaths,Population,Crude Rate
California,"Alameda County, CA",6001.0,2000.0,1.0,56,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2000.0,2.0,35,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2000.0,3.0,32,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2000.0,4.0,25,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2000.0,5.0,20,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2000.0,6.0,19,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2000.0,7.0,17,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2000.0,8.0,22,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2000.0,9.0,23,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2000.0,10.0,34,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2000.0,11.0,25,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2000.0,12.0,28,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,1.0,45,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,2.0,29,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,3.0,33,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,4.0,50,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,5.0,31,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,6.0,28,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,7.0,29,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,8.0,17,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,9.0,15,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,10.0,26,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,11.0,20,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2001.0,12.0,26,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2002.0,1.0,32,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2002.0,2.0,37,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2002.0,3.0,36,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2002.0,4.0,38,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2002.0,5.0,35,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2002.0,6.0,28,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2002.0,7.0,27,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2002.0,8.0,24,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2002.0,9.0,11,Not Applicable,Not Applicable
California,"Alameda County, CA",6001.0,2002.0,10.0,28,Not Applicable,Not Applicable
