County,Year,Month,EstTotalAcres
Baker,2000,6,0.11
Baker,2000,7,1.06
Baker,2000,8,1.24
Baker,2000,9,0.12
Baker,2001,2,0.1
Baker,2001,6,4.0
Baker,2001,7,20.36
Baker,2001,8,23.759999999999998
Baker,2001,9,0.02
Baker,2001,10,0.21000000000000002
Baker,2002,6,0.26
Baker,2002,7,25221.44
Baker,2002,8,0.02
Baker,2002,9,0.51
Baker,2002,11,3.0
Baker,2003,5,0.25
Baker,2003,6,0.17
Baker,2003,7,50.26
Baker,2003,8,0.51
Baker,2003,9,7.33
Baker,2003,10,0.1
Baker,2004,4,0.2
Baker,2004,5,0.5
Baker,2004,6,0.61
Baker,2004,7,1.65
Baker,2004,8,0.23
Baker,2004,9,0.21000000000000002
Baker,2004,10,0.32
Baker,2005,5,0.01
Baker,2005,7,95.11
Baker,2005,8,1.65
Baker,2005,10,3.7
Baker,2006,5,0.26
Baker,2006,6,0.02
Baker,2006,7,0.26
Baker,2006,8,0.51
Baker,2006,9,12588.0
Baker,2007,5,1.25
Baker,2007,6,0.28
Baker,2007,7,398.81
Baker,2007,8,45763.93
Baker,2007,9,2.5
Baker,2008,5,0.5
Baker,2008,6,0.51
Baker,2008,7,0.35
Baker,2008,8,22.27
Baker,2008,9,0.2
Baker,2009,7,0.1
Baker,2009,8,80.94999999999999
Baker,2009,10,0.25
Baker,2010,6,0.61
Baker,2010,7,48.23
Baker,2010,8,0.11
Baker,2010,9,0.13
Baker,2010,10,8.0
Baker,2011,8,158.42
Baker,2011,9,1.5
Baker,2012,5,0.25
Baker,2012,7,55.11
Baker,2012,8,0.1
Baker,2013,7,2.3000000000000003
Baker,2013,8,91.34
Baker,2013,9,0.42000000000000004
Baker,2014,4,0.9
Baker,2014,7,1522.82
Baker,2014,8,13.44
Baker,2014,9,0.1
Baker,2015,4,0.8
Baker,2015,5,0.11
Baker,2015,6,0.02
Baker,2015,7,0.38
Baker,2015,8,139244.11
Baker,2015,9,17823.0
Baker,2015,10,0.1
Baker,2016,6,0.3
Baker,2016,7,41706.1
Baker,2016,8,34.93
Baker,2016,9,0.2
Baker,2017,7,1.8199999999999998
Baker,2017,8,0.01
Baker,2017,9,0.1
Baker,2017,10,0.0
Baker,2018,5,0.01
Baker,2018,7,0.35
Baker,2018,8,0.2
Baker,2018,9,0.2
Baker,2019,5,0.9
Baker,2019,8,0.97
Baker,2020,5,0.1
Baker,2020,7,0.23
Baker,2020,8,298.78999999999996
Baker,2020,9,1.5999999999999999
Baker,2020,10,1.35
Baker,2021,4,33.5
Baker,2021,5,3.0
Baker,2021,6,0.11
Baker,2021,7,0.21000000000000002
Baker,2021,8,12.72
Baker,2021,9,1.1
Baker,2021,10,1.02
Baker,2022,7,0.1
Baker,2022,8,1.4500000000000002
Baker,2022,9,0.2
Baker,2022,10,141.0
Benton,2000,4,0.25
Benton,2000,6,0.1
Benton,2000,7,4.5
Benton,2000,8,0.13
Benton,2000,9,0.78
Benton,2000,10,0.76
Benton,2001,3,67.0
Benton,2001,5,7.75
Benton,2001,7,3.5
Benton,2001,8,9.51
Benton,2001,9,8.89
Benton,2001,10,9.2
Benton,2002,4,0.01
Benton,2002,5,0.1
Benton,2002,6,69.2
Benton,2002,7,4.43
Benton,2002,8,3.1399999999999997
Benton,2002,9,23.76
Benton,2002,10,0.31
Benton,2002,11,25.810000000000002
Benton,2003,7,0.30000000000000004
Benton,2003,8,2.87
Benton,2003,10,0.01
Benton,2004,6,1.01
Benton,2004,7,1.96
Benton,2005,3,0.01
Benton,2005,4,0.01
Benton,2005,6,0.01
Benton,2005,7,1.31
Benton,2005,8,0.28
Benton,2005,9,0.26
Benton,2005,11,2.0
Benton,2006,4,0.01
Benton,2006,5,0.5
Benton,2006,8,5.36
Benton,2006,9,0.05
Benton,2006,10,0.26
Benton,2007,6,0.11
Benton,2007,7,4.0
Benton,2008,7,1.5
Benton,2008,8,0.31
Benton,2008,10,0.2
Benton,2009,5,2.2
Benton,2009,6,0.01
Benton,2009,7,34.01
Benton,2009,8,1.43
Benton,2009,9,0.01
Benton,2009,10,0.25
Benton,2010,7,0.14
Benton,2010,8,0.01
Benton,2010,10,0.01
Benton,2011,6,0.5800000000000001
Benton,2011,7,0.12000000000000001
Benton,2011,9,0.01
Benton,2012,7,0.07
Benton,2012,8,0.01
Benton,2012,10,0.8
Benton,2013,4,24.9
Benton,2013,5,0.76
Benton,2013,6,0.01
Benton,2013,7,0.15000000000000002
Benton,2013,9,0.21000000000000002
Benton,2014,5,0.22
Benton,2014,6,0.01
Benton,2014,7,0.01
Benton,2014,8,1.4600000000000002
Benton,2014,9,86.77
Benton,2015,7,17.02
Benton,2015,8,7.5200000000000005
Benton,2015,9,0.01
Benton,2016,7,4.11
Benton,2016,8,42.34
Benton,2016,9,0.01
Benton,2017,6,2.4
Benton,2017,7,0.01
Benton,2017,8,0.2
Benton,2017,9,0.01
Benton,2017,10,0.08
Benton,2018,4,1.17
Benton,2018,6,0.09
Benton,2018,7,0.02
Benton,2018,8,0.03
Benton,2018,9,0.06999999999999999
Benton,2018,10,0.29000000000000004
Benton,2019,7,0.2
Benton,2019,8,0.19
Benton,2020,7,0.44
Benton,2020,8,0.01
Benton,2020,9,2.04
Benton,2021,5,0.51
Benton,2021,7,0.65
Benton,2021,8,0.22
Benton,2021,9,0.11
Benton,2021,10,0.1
Benton,2022,7,1.35
Benton,2022,8,18.740000000000002
Benton,2022,10,4.4
Clackamas,2000,6,3.5
Clackamas,2000,7,0.5900000000000001
Clackamas,2000,8,6.53
Clackamas,2000,9,0.11
Clackamas,2000,10,1.25
Clackamas,2000,11,0.25
Clackamas,2001,8,4.27
Clackamas,2001,9,0.29000000000000004
Clackamas,2001,10,0.01
Clackamas,2002,3,4.0
Clackamas,2002,4,3.5
Clackamas,2002,5,3.0
Clackamas,2002,7,0.63
Clackamas,2002,8,0.27
Clackamas,2002,9,1.52
Clackamas,2002,10,1.02
