county,year,month,wildfire_acres
Adams,2012,6,1092.8693267598364
Adams,2016,7,58.67112550563774
Adams,2017,8,8402.590037364487
Adams,2018,8,1850.6435606297116
Asotin,2007,8,3399.0291108899983
Asotin,2012,8,12962.373704301452
Asotin,2013,6,2495.184891270005
Asotin,2013,8,613.0162224799998
Asotin,2014,8,151.13901443974652
Asotin,2015,7,7487.72699125
Asotin,2018,7,471.6938422500004
Benton,2007,6,752.88580539
Benton,2007,7,10143.465797449115
Benton,2007,8,73743.50687685
Benton,2009,7,3.22583479
Benton,2009,8,14989.07972607208
Benton,2010,8,1266.0059510199997
Benton,2012,7,1.3707546588704393
Benton,2013,7,332.86810106
Benton,2013,9,681.244572139999
Benton,2015,6,1742.3491946899994
Benton,2016,5,504.28730502000036
Benton,2016,7,68340.41576122105
Benton,2017,7,23622.96688720597
Benton,2018,6,4288.431978809998
Benton,2018,7,2308.574778799998
Benton,2018,8,4998.004853790002
Benton,2018,9,4864.3616482578
Benton,2019,7,41711.705353439975
Chelan,2001,7,4523.308020900005
Chelan,2001,8,53622.35600200942
Chelan,2001,9,647.1737261999997
Chelan,2002,7,20993.930336980022
Chelan,2002,8,2280.884548230001
Chelan,2003,8,2187.9512599400014
Chelan,2003,9,1626.251420060002
Chelan,2004,6,45735.62234198998
Chelan,2004,7,700.4599282200002
Chelan,2004,8,16720.660452909986
Chelan,2005,7,1303.6921810200006
Chelan,2006,7,17141.867146880064
Chelan,2007,7,5501.797827880003
Chelan,2007,8,10537.167696979992
Chelan,2007,9,484.6636862300001
Chelan,2008,8,1660.1855604900006
Chelan,2009,6,182.42525469999984
Chelan,2009,7,1067.0880399400003
Chelan,2009,8,48.504363029999965
Chelan,2009,10,1215.9877845299993
Chelan,2010,7,25617.21228363993
Chelan,2010,8,189.89080313999995
Chelan,2011,8,703.79619742
Chelan,2012,7,602.21934453
Chelan,2012,8,3302.91212931641
Chelan,2012,9,57509.15053019166
Chelan,2013,7,10098.87827186221
Chelan,2013,8,6909.146948499992
Chelan,2014,5,1248.5229994199997
Chelan,2014,7,51376.71862809002
Chelan,2014,8,1254.8470692300002
