"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Race"	"Race Code"	"Sex"	"Sex Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	506	234644	215.6
	"2000"	"2000"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	517	238048	217.2
"Total"	"2000"	"2000"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1023	472692	216.4
	"2000"	"2000"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	6745	2138139	315.5
	"2000"	"2000"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	8077	1994891	404.9
"Total"	"2000"	"2000"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			14822	4133030	358.6
	"2000"	"2000"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	8553	1282820	666.7
	"2000"	"2000"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9260	1234115	750.3
"Total"	"2000"	"2000"	"California"	"06"	"Black or African American"	"2054-5"			17813	2516935	707.7
	"2000"	"2000"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	98988	13341153	742.0
	"2000"	"2000"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	96905	13407838	722.7
"Total"	"2000"	"2000"	"California"	"06"	"White"	"2106-3"			195893	26748991	732.3
"Total"	"2000"	"2000"	"California"	"06"					229551	33871648	677.7
	"2000"	"2000"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	126	28605	440.5
	"2000"	"2000"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	119	28446	418.3
"Total"	"2000"	"2000"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			245	57051	429.4
	"2000"	"2000"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	168	64202	261.7
	"2000"	"2000"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	166	58635	283.1
"Total"	"2000"	"2000"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			334	122837	271.9
	"2000"	"2000"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	156	32431	481.0
	"2000"	"2000"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	226	36720	615.5
"Total"	"2000"	"2000"	"Oregon"	"41"	"Black or African American"	"2054-5"			382	69151	552.4
	"2000"	"2000"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	14605	1599611	913.0
	"2000"	"2000"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	13986	1572749	889.3
"Total"	"2000"	"2000"	"Oregon"	"41"	"White"	"2106-3"			28591	3172360	901.3
"Total"	"2000"	"2000"	"Oregon"	"41"					29552	3421399	863.7
	"2000"	"2000"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	263	56325	466.9
	"2000"	"2000"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	256	55681	459.8
"Total"	"2000"	"2000"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			519	112006	463.4
	"2000"	"2000"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	492	203896	241.3
	"2000"	"2000"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	596	181285	328.8
"Total"	"2000"	"2000"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1088	385181	282.5
	"2000"	"2000"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	505	107637	469.2
	"2000"	"2000"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	592	122459	483.4
"Total"	"2000"	"2000"	"Washington"	"53"	"Black or African American"	"2054-5"			1097	230096	476.8
	"2000"	"2000"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	20824	2591963	803.4
	"2000"	"2000"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	20413	2574875	792.8
"Total"	"2000"	"2000"	"Washington"	"53"	"White"	"2106-3"			41237	5166838	798.1
"Total"	"2000"	"2000"	"Washington"	"53"					43941	5894121	745.5
"Total"	"2000"	"2000"							303044	43187168	701.7
	"2001"	"2001"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	493	245857	200.5
	"2001"	"2001"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	546	249208	219.1
"Total"	"2001"	"2001"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1039	495065	209.9
	"2001"	"2001"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	7325	2246221	326.1
	"2001"	"2001"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	8351	2092159	399.2
"Total"	"2001"	"2001"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			15676	4338380	361.3
	"2001"	"2001"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	8825	1296780	680.5
	"2001"	"2001"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9563	1251049	764.4
"Total"	"2001"	"2001"	"California"	"06"	"Black or African American"	"2054-5"			18388	2547829	721.7
	"2001"	"2001"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	100672	13505365	745.4
	"2001"	"2001"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	98269	13592819	722.9
"Total"	"2001"	"2001"	"California"	"06"	"White"	"2106-3"			198941	27098184	734.1
"Total"	"2001"	"2001"	"California"	"06"					234044	34479458	678.8
	"2001"	"2001"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	124	29674	417.9
	"2001"	"2001"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	133	29372	452.8
"Total"	"2001"	"2001"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			257	59046	435.3
	"2001"	"2001"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	185	68090	271.7
	"2001"	"2001"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	160	62003	258.1
"Total"	"2001"	"2001"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			345	130093	265.2
	"2001"	"2001"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	171	33774	506.3
	"2001"	"2001"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	212	38232	554.5
"Total"	"2001"	"2001"	"Oregon"	"41"	"Black or African American"	"2054-5"			383	72006	531.9
	"2001"	"2001"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	14969	1616351	926.1
	"2001"	"2001"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	14204	1590441	893.1
"Total"	"2001"	"2001"	"Oregon"	"41"	"White"	"2106-3"			29173	3206792	909.7
"Total"	"2001"	"2001"	"Oregon"	"41"					30158	3467937	869.6
	"2001"	"2001"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	286	57761	495.1
	"2001"	"2001"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	290	57360	505.6
"Total"	"2001"	"2001"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			576	115121	500.3
	"2001"	"2001"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	578	216509	267.0
	"2001"	"2001"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	634	191971	330.3
"Total"	"2001"	"2001"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1212	408480	296.7
	"2001"	"2001"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	455	111629	407.6
	"2001"	"2001"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	609	127407	478.0
"Total"	"2001"	"2001"	"Washington"	"53"	"Black or African American"	"2054-5"			1064	239036	445.1
	"2001"	"2001"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	21296	2616181	814.0
	"2001"	"2001"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	20494	2606904	786.1
"Total"	"2001"	"2001"	"Washington"	"53"	"White"	"2106-3"			41790	5223085	800.1
"Total"	"2001"	"2001"	"Washington"	"53"					44642	5985722	745.8
"Total"	"2001"	"2001"							308844	43933117	703.0
	"2002"	"2002"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	490	254854	192.3
	"2002"	"2002"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	570	258147	220.8
"Total"	"2002"	"2002"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1060	513001	206.6
	"2002"	"2002"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	7545	2325320	324.5
	"2002"	"2002"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	8516	2157178	394.8
"Total"	"2002"	"2002"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			16061	4482498	358.3
	"2002"	"2002"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	8970	1306520	686.6
	"2002"	"2002"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9756	1260806	773.8
"Total"	"2002"	"2002"	"California"	"06"	"Black or African American"	"2054-5"			18726	2567326	729.4
	"2002"	"2002"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	100015	13611768	734.8
	"2002"	"2002"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	98703	13697250	720.6
"Total"	"2002"	"2002"	"California"	"06"	"White"	"2106-3"			198718	27309018	727.7
"Total"	"2002"	"2002"	"California"	"06"					234565	34871843	672.6
	"2002"	"2002"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	138	30559	451.6
	"2002"	"2002"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	157	30405	516.4
"Total"	"2002"	"2002"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			295	60964	483.9
	"2002"	"2002"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	163	71289	228.6
	"2002"	"2002"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	172	64552	266.5
"Total"	"2002"	"2002"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			335	135841	246.6
