"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Jan., 2000"	"2000/01"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Feb., 2000"	"2000/02"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Mar., 2000"	"2000/03"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Apr., 2000"	"2000/04"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"May, 2000"	"2000/05"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Jun., 2000"	"2000/06"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Jul., 2000"	"2000/07"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Aug., 2000"	"2000/08"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Sep., 2000"	"2000/09"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Oct., 2000"	"2000/10"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Nov., 2000"	"2000/11"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Dec., 2000"	"2000/12"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Jan., 2001"	"2001/01"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Feb., 2001"	"2001/02"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Mar., 2001"	"2001/03"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Apr., 2001"	"2001/04"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"May, 2001"	"2001/05"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Jun., 2001"	"2001/06"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Jul., 2001"	"2001/07"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Aug., 2001"	"2001/08"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Sep., 2001"	"2001/09"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Oct., 2001"	"2001/10"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Nov., 2001"	"2001/11"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Dec., 2001"	"2001/12"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"Jan., 2002"	"2002/01"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"Feb., 2002"	"2002/02"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"Mar., 2002"	"2002/03"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"Apr., 2002"	"2002/04"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"May, 2002"	"2002/05"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"Jun., 2002"	"2002/06"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"Jul., 2002"	"2002/07"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"Aug., 2002"	"2002/08"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"Sep., 2002"	"2002/09"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"Oct., 2002"	"2002/10"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"Nov., 2002"	"2002/11"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2002"	"2002"	"Dec., 2002"	"2002/12"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"Jan., 2003"	"2003/01"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"Feb., 2003"	"2003/02"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"Mar., 2003"	"2003/03"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"Apr., 2003"	"2003/04"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"May, 2003"	"2003/05"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"Jun., 2003"	"2003/06"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"Jul., 2003"	"2003/07"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"Aug., 2003"	"2003/08"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"Sep., 2003"	"2003/09"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"Oct., 2003"	"2003/10"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"Nov., 2003"	"2003/11"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2003"	"2003"	"Dec., 2003"	"2003/12"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"Jan., 2004"	"2004/01"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"Feb., 2004"	"2004/02"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"Mar., 2004"	"2004/03"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"Apr., 2004"	"2004/04"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"May, 2004"	"2004/05"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"Jun., 2004"	"2004/06"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"Jul., 2004"	"2004/07"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"Aug., 2004"	"2004/08"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"Sep., 2004"	"2004/09"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"Oct., 2004"	"2004/10"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"Nov., 2004"	"2004/11"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2004"	"2004"	"Dec., 2004"	"2004/12"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"Jan., 2005"	"2005/01"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"Feb., 2005"	"2005/02"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"Mar., 2005"	"2005/03"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"Apr., 2005"	"2005/04"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"May, 2005"	"2005/05"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"Jun., 2005"	"2005/06"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"Jul., 2005"	"2005/07"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"Aug., 2005"	"2005/08"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"Sep., 2005"	"2005/09"	0	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"Oct., 2005"	"2005/10"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"Nov., 2005"	"2005/11"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2005"	"2005"	"Dec., 2005"	"2005/12"	Suppressed	Not Applicable	Not Applicable
