"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"Alameda County, CA"	"06001"	51	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"Butte County, CA"	"06007"	12	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"Contra Costa County, CA"	"06013"	40	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"Fresno County, CA"	"06019"	43	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"Kern County, CA"	"06029"	30	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"Los Angeles County, CA"	"06037"	302	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"Monterey County, CA"	"06053"	20	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"Orange County, CA"	"06059"	143	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"Placer County, CA"	"06061"	19	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"Riverside County, CA"	"06065"	103	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"Sacramento County, CA"	"06067"	56	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"San Bernardino County, CA"	"06071"	88	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"San Diego County, CA"	"06073"	144	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"San Francisco County, CA"	"06075"	29	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"California"	"06"	"San Joaquin County, CA"	"06077"	25	Not Applicable	Not Applicable
