This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"AGKO","AGENCY LAKE",-121.9825,42.5653,1265,"AGRIMET","3"
"AHTI","ASHTON",-111.4667,44.0250,1615,"AGRIMET","4"
"ARAO","AURORA",-122.7503,45.2819,43,"AGRIMET","5"
"BANO","BANDON",-124.4172,43.0911,24,"AGRIMET","6"
"BATO","BEATTY",-121.2739,42.4781,1317,"AGRIMET","7"
"BEWO","BEND",-121.3203,44.0475,1113,"AGRIMET","8"
"BKVO","BAKER VALLEY",-117.9636,44.8819,1042,"AGRIMET","9"
"BNDW","BONNEVILLE D",-121.9311,45.6478,24,"AGRIMET","10"
"BOII","BOISE",-116.1861,43.6208,829,"AGRIMET","11"
"BRKO","BROOKINGS",-124.2408,42.0300,24,"AGRIMET","12"
"CEDC","CEDARVILLE",-120.1714,41.5853,1402,"AGRIMET","13"
"CHAW","CHAMOKANE",-117.7392,48.0314,594,"AGRIMET","14"
"CHVO","CHRISTMAS VA",-120.7281,43.2414,1329,"AGRIMET","15"
"CJDW","CHIEF JOSEPH",-119.6356,47.9908,302,"AGRIMET","16"
"DEFO","DEE FLAT",-121.6472,45.5736,384,"AGRIMET","20"
"DRLM","DEER LODGE",-112.7667,46.3356,1426,"AGRIMET","22"
"DTRO","DETROIT LAKE",-122.1792,44.7300,511,"AGRIMET","23"
"ECHO","ECHO",-119.3500,45.7111,232,"AGRIMET","24"
"EURN","EUREKA",-115.9786,39.6853,1797,"AGRIMET","25"
"FAFI","FAIRFIELD",-114.8250,43.3083,1536,"AGRIMET","26"
"FOGO","FOREST GROVE",-123.0836,45.5531,55,"AGRIMET","28"
"FTHI","FORT HALL",-112.4311,43.0714,1355,"AGRIMET","29"
"GCDW","GRAND COULEE",-118.9536,47.9453,402,"AGRIMET","30"
"GDVI","GRAND VIEW",-116.0561,42.9125,786,"AGRIMET","31"
"GERW","GEORGE",-119.6422,47.0439,351,"AGRIMET","32"
"GFRI","GLENNS FERRY",-115.3569,42.8667,922,"AGRIMET","33"
"GOLW","GOLDENDALE",-120.8244,45.8119,512,"AGRIMET","34"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET","36"
"HRFO","HEREFORD",-118.0200,44.4881,1097,"AGRIMET","38"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET","39"
"HRMO","HERMISTON (H",-119.2833,45.8194,185,"AGRIMET","40"
"IMBO","IMBLER",-117.9667,45.4333,838,"AGRIMET","41"
"KFLO","KLAMATH FALL",-121.7550,42.1647,1250,"AGRIMET","42"
"KFLW","KETTLE FALLS",-118.1242,48.5950,408,"AGRIMET","43"
"KTBI","KETTLE BUTTE",-112.3258,43.5486,1565,"AGRIMET","44"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET","45"
"LBRW","LAKE BRYAN-R",-117.6542,46.6975,192,"AGRIMET","46"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET","47"
"LIDW","LIND",-118.7394,46.8672,450,"AGRIMET","48"
"MALI","MALTA",-113.4139,42.4375,1344,"AGRIMET","51"
"MASW","MANSON",-120.1244,47.9169,601,"AGRIMET","52"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET","53"
"MNTI","MONTEVIEW",-112.5358,44.0150,1480,"AGRIMET","54"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET","55"
"NMPI","NAMPA",-116.6369,43.4417,803,"AGRIMET","56"
"ODSW","ODESSA",-118.8786,47.3089,503,"AGRIMET","57"
"OMAW","OMAK",-119.5761,48.4025,376,"AGRIMET","58"
"ONTO","ONTARIO",-117.0153,43.9778,689,"AGRIMET","59"
"PARO","PARKDALE",-121.6167,45.5444,451,"AGRIMET","60"
"PCYO","PRAIRIE CITY",-118.6278,44.4408,1144,"AGRIMET","61"
"PICI","PICABO",-114.1658,43.3117,1494,"AGRIMET","62"
"PMAI","PARMA",-116.9333,43.8000,703,"AGRIMET","63"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET","64"
"POBO","POWELL BUTTE",-120.9497,44.2483,975,"AGRIMET","65"
"RDBM","ROUNDBUTTE",-114.2806,47.5394,927,"AGRIMET","66"
"RPTI","RUPERT",-113.8381,42.5950,1266,"AGRIMET","67"
"RTHI","RATHDRUM PRA",-116.8414,47.7956,698,"AGRIMET","68"
"RXGI","REXBURG",-111.7667,43.8500,1486,"AGRIMET","69"
"SBMW","SEVEN BAYS M",-118.3411,47.8553,418,"AGRIMET","70"
"SIGM","ST. IGNATIUS",-114.0981,47.3133,896,"AGRIMET","71"
"TWFI","TWIN FALLS (",-114.3453,42.5461,1195,"AGRIMET","73"
"WRDO","WORDEN",-121.7869,42.0169,1244,"AGRIMET","74"
"010063","ADDISON",-87.1814,34.2031,233,"COOP","7860"
"010160","ALEXANDER CI",-85.9481,32.9453,224,"COOP","7868"
"010178","ALICEVILLE",-88.1269,33.1394,73,"COOP","7871"
"010260","ANDERSON",-87.2747,34.9092,209,"COOP","7874"
"010390","ATHENS",-86.9511,34.7772,207,"COOP","7880"
"010402","ATMORE",-87.4389,31.1819,91,"COOP","7883"
"010505","BANKHEAD LOC",-87.3572,33.4528,85,"COOP","7890"
"010583","BAY MINETTE",-87.7875,30.8842,83,"COOP","7893"
"010655","BELLE MINA 2",-86.8825,34.6908,183,"COOP","7896"
"010748","BERRY 3 NW",-87.6497,33.6944,154,"COOP","7897"
"010764","BESSEMER 3 W",-87.0078,33.3953,136,"COOP","7900"
"010823","BILLINGSLEY",-86.6653,32.6731,136,"COOP","7904"
"011225","CAHABA PUMP",-86.7153,33.4514,141,"COOP","7920"
"011288","CALERA",-86.7461,33.1106,162,"COOP","7921"
"011490","CENTRE",-85.7017,34.1503,183,"COOP","7928"
"011620","CHILDERSBURG",-86.3436,33.2822,127,"COOP","7936"
"011694","CLANTON",-86.6522,32.8200,186,"COOP","7939"
"011725","CLAYTON",-85.4789,31.8844,152,"COOP","7940"
"012813","FAIRHOPE 2 N",-87.8808,30.5467,7,"COOP","7983"
"012883","FAYETTE",-87.8219,33.6847,111,"COOP","7988"
"013043","FORT PAYNE",-85.7236,34.4406,280,"COOP","7994"
"013160","GAINESVILLE",-88.1342,32.8347,38,"COOP","7999"
"013251","GENEVA NO 2",-85.8708,31.0383,44,"COOP","8002"
"013511","GREENSBORO",-87.5808,32.7017,67,"COOP","8010"
"013573","GUNTERSVILLE",-86.3297,34.3344,176,"COOP","8015"
"013620","HALEYVILLE",-87.6347,34.2311,280,"COOP","8020"
"013645","HAMILTON 3 S",-87.9914,34.0967,133,"COOP","8022"
"013775","HEFLIN",-85.6006,33.6483,259,"COOP","8028"
"013781","HELENA",-86.8336,33.2725,146,"COOP","8029"
"014209","JACKSONVILLE",-85.7664,33.8167,209,"COOP","8045"
"014502","LAFAYETTE 2",-85.4336,32.9069,226,"COOP","8051"
"015172","MATHEWS",-86.0003,32.2603,77,"COOP","8076"
"015435","MILLPORT 2 E",-88.0333,33.5700,84,"COOP","8086"
"015537","MONTEVALLO",-86.8667,33.0981,125,"COOP","8097"
"015553","MONTGOMERY 6",-86.2181,32.2600,69,"COOP","8102"
"015635","MOULTON 2",-87.2933,34.4856,197,"COOP","8105"
"015658","MOUNDVILLE",-87.6225,32.9947,37,"COOP","8106"
"016121","ONEONTA",-86.4692,33.9478,272,"COOP","8117"
"016129","OPELIKA",-85.4492,32.6592,195,"COOP","8118"
"016196","OWENS CROSS",-86.4453,34.5528,180,"COOP","8120"
"016847","REFORM",-88.0200,33.3753,73,"COOP","8151"
"016988","ROBERTSDALE",-87.7017,30.5650,49,"COOP","8155"
"017020","ROCKFORD 3 E",-86.1758,32.8711,228,"COOP","8156"
"017157","SAINT BERNAR",-86.8133,34.1736,244,"COOP","8160"
"017207","SAND MT SUBS",-85.9692,34.2872,335,"COOP","8162"
"017304","SCOTTSBORO",-86.0536,34.6736,187,"COOP","8165"
"017999","SYLACAUGA 4",-86.2114,33.2053,149,"COOP","8184"
"018380","TUSCALOOSA A",-87.6092,33.2222,52,"COOP","8198"
"018469","VALLEY HEAD",-85.6128,34.5667,324,"COOP","8208"
"018608","WADLEY NR 2",-85.5800,33.1272,213,"COOP","8213"
"018648","WALNUT GROVE",-86.3069,34.0661,259,"COOP","8215"
