OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,STARTDATE,PERIMDATE,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN
1,WANES,WA DNR - NE REGION,BUCKEYE,UNKNOWN,1987/01/01 08:00:00+00,1987/01/01 08:00:00+00,227.33273899,1987,UNKNOWN,9902574.5,15985.2274111208
2,WANES,WA DNR - NE REGION,STONY PEAK,UNKNOWN,1985/01/01 08:00:00+00,1985/01/01 08:00:00+00,289.5896455,1985,UNKNOWN,12614474.5,15780.7544788298
3,WANES,WA DNR - NE REGION,LIBERTY LAKE,UNKNOWN,1985/01/01 08:00:00+00,1985/01/01 08:00:00+00,855.37991371,1985,UNKNOWN,37260200,38532.7122401374
4,WANES,WA DNR - NE REGION,RAIL CANYON,UNKNOWN,1994/08/01 07:00:00+00,1994/08/01 07:00:00+00,102.0968386,1994,UNKNOWN,4447320.5,7985.87123124942
5,WANES,WA DNR - NE REGION,CORK SCREW,UNKNOWN,1994/08/01 07:00:00+00,1994/08/01 07:00:00+00,185.87267875,1994,UNKNOWN,8096581.5,11092.84839353
6,WANES,WA DNR - NE REGION,OWENS RD,UNKNOWN,1994/08/01 07:00:00+00,1994/08/01 07:00:00+00,127.00405485,1994,UNKNOWN,5532274.5,9024.13264378033
7,WANES,WA DNR - NE REGION,NEWKIRK - OLD TRAIL RD,UNKNOWN,1997/01/01 08:00:00+00,1997/01/01 08:00:00+00,772.41805753,1997,UNKNOWN,33646396,29728.5893173951
8,WANES,WA DNR - NE REGION,RIVERSIDE,UNKNOWN,1994/08/01 07:00:00+00,1994/08/01 07:00:00+00,455.86572383,1994,UNKNOWN,19857431.5,21359.7259983742
9,WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,407.72478287,1991,UNKNOWN,17760420.5,25519.9609318938
10,WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,235.15460223,1991,UNKNOWN,10243293.5,13718.8566054855
